"utc","processId","rssBytes","peakRssBytes","cpuSeconds"
"2026-09-22T00:35:28.9722405Z","42940","162476032","162476032","3.28125"
"2026-09-22T00:35:29.5056538Z","42940","207634432","209002496","5.234375"
"2026-09-22T00:35:30.0234021Z","42940","224772096","234237952","6.21875"
"2026-09-22T00:35:30.5350319Z","42940","230563840","234237952","6.625"
"2026-09-22T00:35:31.0470412Z","42940","233082880","234237952","6.921875"
"2026-09-22T00:35:31.5633436Z","42940","184459264","236851200","7.6875"
"2026-09-22T00:35:32.0751717Z","42940","198586368","236851200","8.390625"
"2026-09-22T00:35:32.5997581Z","42940","244207616","247803904","9.890625"
"2026-09-22T00:35:33.1228059Z","42940","237268992","251875328","10.984375"
"2026-09-22T00:35:33.6432075Z","42940","260218880","267759616","12.015625"
"2026-09-22T00:35:34.1655439Z","42940","285986816","285986816","12.515625"
"2026-09-22T00:35:34.6878963Z","42940","314015744","314015744","13.015625"
"2026-09-22T00:35:35.2094570Z","42940","309219328","315187200","13.46875"
"2026-09-22T00:35:35.7305743Z","42940","325939200","328110080","14.328125"
"2026-09-22T00:35:36.2555624Z","42940","364355584","367513600","15.296875"
"2026-09-22T00:35:36.7778319Z","42940","361058304","373428224","16.234375"
"2026-09-22T00:35:37.3007142Z","42940","381321216","381321216","17.390625"
"2026-09-22T00:35:37.8221139Z","42940","365891584","381501440","18.59375"
"2026-09-22T00:35:38.3428441Z","42940","361816064","381501440","19.796875"
"2026-09-22T00:35:38.8640728Z","42940","352620544","381501440","20.5625"
"2026-09-22T00:35:39.3878590Z","42940","351817728","381501440","20.984375"
"2026-09-22T00:35:39.9108969Z","42940","358387712","381501440","21.703125"
"2026-09-22T00:35:40.4307237Z","42940","352112640","381501440","22.15625"
"2026-09-22T00:35:40.9486437Z","42940","358117376","381501440","22.546875"
"2026-09-22T00:35:41.4698502Z","42940","359292928","381501440","22.921875"
"2026-09-22T00:35:41.9934698Z","42940","359317504","381501440","23.46875"
"2026-09-22T00:35:42.5124792Z","42940","364453888","381501440","23.90625"
"2026-09-22T00:35:43.0360226Z","42940","337793024","381501440","24.46875"
"2026-09-22T00:35:43.5599717Z","42940","345677824","381501440","25.109375"
"2026-09-22T00:35:44.0822298Z","42940","346656768","381501440","25.453125"
"2026-09-22T00:35:44.6019014Z","42940","349179904","381501440","25.859375"
"2026-09-22T00:35:45.1257608Z","42940","342663168","381501440","26.359375"
"2026-09-22T00:35:45.6441526Z","42940","346906624","381501440","26.71875"
"2026-09-22T00:35:46.1643467Z","42940","348237824","381501440","27"
"2026-09-22T00:35:46.6879386Z","42940","348364800","381501440","27.328125"
"2026-09-22T00:35:47.2116095Z","42940","344670208","381501440","27.734375"
"2026-09-22T00:35:47.7322957Z","42940","346288128","381501440","28.21875"
"2026-09-22T00:35:48.2552090Z","42940","344100864","381501440","28.828125"
"2026-09-22T00:35:48.7693869Z","42940","347246592","381501440","29.421875"
"2026-09-22T00:35:49.2903708Z","42940","347250688","381501440","29.75"
"2026-09-22T00:35:49.8095843Z","42940","347316224","381501440","30.046875"
"2026-09-22T00:35:50.3311045Z","42940","347471872","381501440","30.3125"
"2026-09-22T00:35:50.8506474Z","42940","349593600","381501440","30.65625"
"2026-09-22T00:35:51.3724974Z","42940","349802496","381501440","30.859375"
"2026-09-22T00:35:51.8939572Z","42940","352624640","381501440","31.28125"
"2026-09-22T00:35:52.4155950Z","42940","352751616","381501440","31.640625"
"2026-09-22T00:35:52.9378153Z","42940","352755712","381501440","31.96875"
"2026-09-22T00:35:53.4570309Z","42940","322928640","381501440","32.1875"
"2026-09-22T00:35:53.9743398Z","42940","334082048","381501440","32.578125"
"2026-09-22T00:35:54.4982594Z","42940","334499840","381501440","32.796875"
"2026-09-22T00:35:55.0205352Z","42940","335446016","381501440","33.125"
"2026-09-22T00:35:55.5447471Z","42940","340959232","381501440","33.4375"
"2026-09-22T00:35:56.0621995Z","42940","341176320","381501440","33.765625"
"2026-09-22T00:35:56.5814640Z","42940","342536192","381501440","34.171875"
"2026-09-22T00:35:57.1056621Z","42940","342691840","381501440","34.53125"
"2026-09-22T00:35:57.6284698Z","42940","342708224","381501440","34.796875"
"2026-09-22T00:35:58.1488594Z","42940","324005888","381501440","35.140625"
"2026-09-22T00:35:58.6719139Z","42940","324669440","381501440","35.421875"
"2026-09-22T00:35:59.1958673Z","42940","329146368","381501440","35.765625"
