"utc","processId","rssBytes","peakRssBytes","cpuSeconds"
"2026-09-21T22:07:01.8246566Z","43928","157065216","157065216","3.5"
"2026-09-21T22:07:02.3560835Z","43928","255057920","255057920","6.390625"
"2026-09-21T22:07:02.8645436Z","43928","261140480","261140480","7.015625"
"2026-09-21T22:07:03.3757546Z","43928","271515648","271515648","7.296875"
"2026-09-21T22:07:03.8908182Z","43928","177139712","303951872","7.921875"
"2026-09-21T22:07:04.3999288Z","43928","181166080","303951872","8.71875"
"2026-09-21T22:07:04.9150914Z","43928","236703744","303951872","10.25"
"2026-09-21T22:07:05.4270317Z","43928","238301184","303951872","11.34375"
"2026-09-21T22:07:05.9491997Z","43928","233828352","303951872","12.515625"
"2026-09-21T22:07:06.4630407Z","43928","250789888","303951872","13.640625"
"2026-09-21T22:07:06.9800668Z","43928","263094272","303951872","14.28125"
"2026-09-21T22:07:07.4989828Z","43928","288813056","303951872","14.6875"
"2026-09-21T22:07:08.0085970Z","43928","290193408","303951872","15"
"2026-09-21T22:07:08.5237914Z","43928","322437120","327245824","15.46875"
"2026-09-21T22:07:09.0339399Z","43928","341487616","343334912","16.609375"
"2026-09-21T22:07:09.5552885Z","43928","350715904","350715904","17.484375"
"2026-09-21T22:07:10.0657159Z","43928","354119680","360513536","18.671875"
"2026-09-21T22:07:10.5853938Z","43928","355721216","360513536","19.640625"
"2026-09-21T22:07:11.1057852Z","43928","333434880","360513536","20.75"
"2026-09-21T22:07:11.6279745Z","43928","338321408","360513536","21.546875"
"2026-09-21T22:07:12.1408775Z","43928","336916480","360513536","22.53125"
"2026-09-21T22:07:12.6510474Z","43928","339521536","360513536","22.828125"
"2026-09-21T22:07:13.1722413Z","43928","332611584","360513536","23.328125"
"2026-09-21T22:07:13.6890126Z","43928","340115456","360513536","24"
"2026-09-21T22:07:14.2130573Z","43928","336207872","360513536","24.265625"
"2026-09-21T22:07:14.7317579Z","43928","333914112","360513536","24.5625"
"2026-09-21T22:07:15.2513290Z","43928","338935808","360513536","24.953125"
"2026-09-21T22:07:15.7732502Z","43928","339169280","360513536","25.25"
"2026-09-21T22:07:16.2952200Z","43928","316231680","360513536","25.734375"
"2026-09-21T22:07:16.8081711Z","43928","316510208","360513536","26.25"
"2026-09-21T22:07:17.3235691Z","43928","318410752","360513536","26.734375"
"2026-09-21T22:07:17.8413525Z","43928","326332416","360513536","27.203125"
"2026-09-21T22:07:18.3604884Z","43928","328036352","360513536","27.65625"
"2026-09-21T22:07:18.8756449Z","43928","324526080","360513536","27.9375"
"2026-09-21T22:07:19.3908775Z","43928","327753728","360513536","28.234375"
"2026-09-21T22:07:19.9114147Z","43928","330596352","360513536","28.59375"
"2026-09-21T22:07:20.4237806Z","43928","324870144","360513536","29.015625"
"2026-09-21T22:07:20.9371822Z","43928","304377856","360513536","29.265625"
"2026-09-21T22:07:21.4507866Z","43928","306475008","360513536","29.53125"
"2026-09-21T22:07:21.9659222Z","43928","306708480","360513536","29.75"
"2026-09-21T22:07:22.4834555Z","43928","309170176","360513536","30.140625"
"2026-09-21T22:07:23.0022596Z","43928","318173184","360513536","30.6875"
"2026-09-21T22:07:23.5230432Z","43928","318873600","360513536","31.0625"
"2026-09-21T22:07:24.0392783Z","43928","335200256","360513536","31.53125"
"2026-09-21T22:07:24.5570911Z","43928","325402624","360513536","32.1875"
"2026-09-21T22:07:25.0750968Z","43928","325382144","360513536","32.59375"
"2026-09-21T22:07:25.5968112Z","43928","327061504","360513536","32.9375"
"2026-09-21T22:07:26.1114467Z","43928","305500160","360513536","33.3125"
"2026-09-21T22:07:26.6386581Z","43928","310722560","360513536","33.546875"
"2026-09-21T22:07:27.1540522Z","43928","316317696","360513536","33.890625"
"2026-09-21T22:07:27.6688270Z","43928","316637184","360513536","34.109375"
"2026-09-21T22:07:28.1777837Z","43928","316706816","360513536","34.296875"
"2026-09-21T22:07:28.6876637Z","43928","320540672","360513536","34.578125"
"2026-09-21T22:07:29.2088483Z","43928","320700416","360513536","34.828125"
"2026-09-21T22:07:29.7296944Z","43928","324956160","360513536","35.484375"
"2026-09-21T22:07:30.2506435Z","43928","325468160","360513536","35.84375"
"2026-09-21T22:07:30.7707776Z","43928","330715136","360513536","36.265625"
"2026-09-21T22:07:31.2820558Z","43928","307494912","360513536","36.515625"
"2026-09-21T22:07:31.8028221Z","43928","332120064","360513536","36.921875"
"2026-09-21T22:07:32.3227392Z","43928","329449472","360513536","37.375"
"2026-09-21T22:07:32.8314157Z","43928","329453568","360513536","37.59375"
"2026-09-21T22:07:33.3475673Z","43928","329465856","360513536","37.765625"
"2026-09-21T22:07:33.8698375Z","43928","329895936","360513536","38.140625"
"2026-09-21T22:07:34.3839849Z","43928","330321920","360513536","38.359375"
"2026-09-21T22:07:34.9046361Z","43928","330321920","360513536","38.5625"
"2026-09-21T22:07:35.4198913Z","43928","330395648","360513536","38.78125"
"2026-09-21T22:07:35.9359079Z","43928","330395648","360513536","39.015625"
"2026-09-21T22:07:36.4505355Z","43928","307355648","360513536","39.21875"
"2026-09-21T22:07:36.9656151Z","43928","307703808","360513536","39.453125"
"2026-09-21T22:07:37.4747981Z","43928","321130496","360513536","39.796875"
"2026-09-21T22:07:37.9987532Z","43928","321925120","360513536","40.03125"
