"utc","processId","rssBytes","peakRssBytes","cpuSeconds"
"2026-09-21T22:03:46.7709773Z","31332","156737536","156737536","3.765625"
"2026-09-21T22:03:47.3005610Z","31332","205574144","213884928","6.34375"
"2026-09-21T22:03:47.8115739Z","31332","214261760","214261760","6.921875"
"2026-09-21T22:03:48.3247084Z","31332","217542656","217579520","6.984375"
"2026-09-21T22:03:48.8341200Z","31332","148938752","222826496","7.71875"
"2026-09-21T22:03:49.3488791Z","31332","177106944","222826496","8.421875"
"2026-09-21T22:03:49.8790120Z","31332","228167680","229089280","9.8125"
"2026-09-21T22:03:50.3951185Z","31332","238575616","238575616","11.171875"
"2026-09-21T22:03:50.9192800Z","31332","266788864","266788864","12.1875"
"2026-09-21T22:03:51.4381153Z","31332","278151168","286212096","13.25"
"2026-09-21T22:03:51.9576588Z","31332","280260608","286212096","13.828125"
"2026-09-21T22:03:52.4738554Z","31332","281165824","286212096","14.203125"
"2026-09-21T22:03:52.9981925Z","31332","275148800","286212096","14.6875"
"2026-09-21T22:03:53.5120341Z","31332","305311744","313364480","15.0625"
"2026-09-21T22:03:54.0276479Z","31332","322084864","325267456","16.09375"
"2026-09-21T22:03:54.5384813Z","31332","327483392","327483392","16.984375"
"2026-09-21T22:03:55.0556607Z","31332","330612736","336646144","17.890625"
"2026-09-21T22:03:55.5785587Z","31332","329347072","336646144","18.703125"
"2026-09-21T22:03:56.0985159Z","31332","335933440","349503488","20.15625"
"2026-09-21T22:03:56.6220503Z","31332","346898432","349503488","21.1875"
"2026-09-21T22:03:57.1428819Z","31332","346836992","349503488","22.328125"
"2026-09-21T22:03:57.6539879Z","31332","330575872","349503488","23.03125"
"2026-09-21T22:03:58.1637256Z","31332","336506880","349503488","23.484375"
"2026-09-21T22:03:58.6791748Z","31332","337928192","349503488","23.78125"
"2026-09-21T22:03:59.1950057Z","31332","337133568","349503488","24.59375"
"2026-09-21T22:03:59.7090893Z","31332","338763776","349503488","24.9375"
"2026-09-21T22:04:00.2188081Z","31332","330539008","349503488","25.359375"
"2026-09-21T22:04:00.7333395Z","31332","335503360","349503488","25.703125"
"2026-09-21T22:04:01.2634644Z","31332","287232000","349503488","26.03125"
"2026-09-21T22:04:01.7768151Z","31332","300457984","349503488","26.5"
"2026-09-21T22:04:02.2980913Z","31332","298532864","349503488","26.921875"
"2026-09-21T22:04:02.8128631Z","31332","301834240","349503488","27.421875"
"2026-09-21T22:04:03.3284518Z","31332","310284288","349503488","28.03125"
"2026-09-21T22:04:03.8524440Z","31332","312045568","349503488","28.578125"
"2026-09-21T22:04:04.3688330Z","31332","313339904","349503488","28.921875"
"2026-09-21T22:04:04.8853436Z","31332","313589760","349503488","29.234375"
"2026-09-21T22:04:05.4005588Z","31332","313974784","349503488","29.59375"
"2026-09-21T22:04:05.9216731Z","31332","290324480","349503488","30.25"
"2026-09-21T22:04:06.4368107Z","31332","292671488","349503488","30.578125"
"2026-09-21T22:04:06.9575855Z","31332","295796736","349503488","30.828125"
"2026-09-21T22:04:07.4676864Z","31332","295948288","349503488","31.125"
"2026-09-21T22:04:07.9816597Z","31332","295948288","349503488","31.359375"
"2026-09-21T22:04:08.5039095Z","31332","302694400","349503488","31.734375"
"2026-09-21T22:04:09.0185685Z","31332","302747648","349503488","32.171875"
"2026-09-21T22:04:09.5304003Z","31332","303747072","349503488","32.546875"
"2026-09-21T22:04:10.0508923Z","31332","322125824","349503488","33.140625"
"2026-09-21T22:04:10.5647199Z","31332","309473280","349503488","33.765625"
"2026-09-21T22:04:11.0884430Z","31332","289771520","349503488","33.984375"
"2026-09-21T22:04:11.6016066Z","31332","290258944","349503488","34.265625"
"2026-09-21T22:04:12.1200500Z","31332","294764544","349503488","34.515625"
"2026-09-21T22:04:12.6322940Z","31332","294813696","349503488","34.796875"
"2026-09-21T22:04:13.1433046Z","31332","295911424","349503488","35.09375"
"2026-09-21T22:04:13.6604387Z","31332","302743552","349503488","35.53125"
"2026-09-21T22:04:14.1701110Z","31332","302915584","349503488","35.8125"
"2026-09-21T22:04:14.6910035Z","31332","306917376","349503488","36.234375"
"2026-09-21T22:04:15.2123899Z","31332","307019776","349503488","36.5"
"2026-09-21T22:04:15.7326504Z","31332","307175424","349503488","36.78125"
"2026-09-21T22:04:16.2488421Z","31332","290279424","349503488","37.09375"
"2026-09-21T22:04:16.7646648Z","31332","292421632","349503488","37.421875"
"2026-09-21T22:04:17.2825623Z","31332","302727168","349503488","37.84375"
"2026-09-21T22:04:17.7981311Z","31332","302788608","349503488","38.109375"
"2026-09-21T22:04:18.3098781Z","31332","303132672","349503488","38.453125"
"2026-09-21T22:04:18.8340419Z","31332","304693248","349503488","38.828125"
"2026-09-21T22:04:19.3464879Z","31332","307654656","349503488","39.21875"
"2026-09-21T22:04:19.8611076Z","31332","307675136","349503488","39.46875"
"2026-09-21T22:04:20.3755066Z","31332","308912128","349503488","39.8125"
"2026-09-21T22:04:20.8921292Z","31332","309592064","349503488","40.15625"
"2026-09-21T22:04:21.4037126Z","31332","293597184","349503488","40.359375"
"2026-09-21T22:04:21.9161047Z","31332","293597184","349503488","40.578125"
"2026-09-21T22:04:22.4412809Z","31332","293601280","349503488","40.75"
"2026-09-21T22:04:22.9802188Z","31332","293605376","349503488","40.984375"
"2026-09-21T22:04:23.4976544Z","31332","293617664","349503488","41.203125"
"2026-09-21T22:04:24.0121750Z","31332","297250816","349503488","41.640625"
"2026-09-21T22:04:24.5368512Z","31332","305942528","349503488","42.09375"
"2026-09-21T22:04:25.0556995Z","31332","316182528","349503488","42.40625"
"2026-09-21T22:04:25.5709944Z","31332","302088192","349503488","42.703125"
"2026-09-21T22:04:26.0822605Z","31332","302456832","349503488","42.96875"
"2026-09-21T22:04:26.6006926Z","31332","295194624","349503488","43.203125"
"2026-09-21T22:04:27.1252235Z","31332","296677376","349503488","43.4375"
"2026-09-21T22:04:27.6474053Z","31332","296738816","349503488","43.640625"
"2026-09-21T22:04:28.1581711Z","31332","311324672","349503488","44.09375"
"2026-09-21T22:04:28.6700675Z","31332","309600256","349503488","44.734375"
