"utc","processId","rssBytes","peakRssBytes","cpuSeconds"
"2026-09-21T21:57:27.2892674Z","26536","155004928","157782016","3.203125"
"2026-09-21T21:57:27.8105295Z","26536","245252096","247824384","5.546875"
"2026-09-21T21:57:28.3195210Z","26536","260485120","269656064","6.578125"
"2026-09-21T21:57:28.8365488Z","26536","266375168","269656064","6.96875"
"2026-09-21T21:57:29.3498296Z","26536","270721024","270721024","7.390625"
"2026-09-21T21:57:29.8577927Z","26536","178987008","279748608","7.921875"
"2026-09-21T21:57:30.3672470Z","26536","204288000","279748608","8.796875"
"2026-09-21T21:57:30.8848729Z","26536","257216512","279748608","10.421875"
"2026-09-21T21:57:31.3960528Z","26536","261156864","279748608","11.8125"
"2026-09-21T21:57:31.9147487Z","26536","282427392","285999104","12.75"
"2026-09-21T21:57:32.4313817Z","26536","281706496","291393536","13.6875"
"2026-09-21T21:57:32.9471067Z","26536","286957568","291393536","14.21875"
"2026-09-21T21:57:33.4588303Z","26536","287387648","291393536","14.59375"
"2026-09-21T21:57:33.9772857Z","26536","308137984","321843200","15.0625"
"2026-09-21T21:57:34.5030354Z","26536","308637696","321843200","15.40625"
"2026-09-21T21:57:35.0208812Z","26536","365383680","368148480","16.34375"
"2026-09-21T21:57:35.5383974Z","26536","368656384","368656384","17.265625"
"2026-09-21T21:57:36.0512153Z","26536","379236352","379236352","18.171875"
"2026-09-21T21:57:36.5906832Z","26536","344616960","380461056","19.09375"
"2026-09-21T21:57:37.1059931Z","26536","365826048","380461056","19.8125"
"2026-09-21T21:57:37.6223494Z","26536","377442304","387215360","21.015625"
"2026-09-21T21:57:38.1441306Z","26536","369278976","387215360","21.46875"
"2026-09-21T21:57:38.6660926Z","26536","385814528","392683520","22.765625"
"2026-09-21T21:57:39.1854661Z","26536","370012160","392683520","23.734375"
"2026-09-21T21:57:39.7046208Z","26536","378396672","392683520","24.3125"
"2026-09-21T21:57:40.2204324Z","26536","372707328","392683520","24.890625"
"2026-09-21T21:57:40.7394572Z","26536","374882304","392683520","25.78125"
"2026-09-21T21:57:41.2602275Z","26536","375386112","392683520","26"
"2026-09-21T21:57:41.7912183Z","26536","335138816","392683520","26.5"
"2026-09-21T21:57:42.3119872Z","26536","349151232","392683520","26.921875"
"2026-09-21T21:57:42.8316957Z","26536","349519872","392683520","27.28125"
"2026-09-21T21:57:43.3485994Z","26536","353710080","392683520","27.671875"
"2026-09-21T21:57:43.8699037Z","26536","349921280","392683520","28.15625"
"2026-09-21T21:57:44.3931134Z","26536","351645696","392683520","28.546875"
